#Y - Res 1      - Res 2      - Sor 1      - Sor 2
10   1.687931e-02 9.401162e-02 1.719345e-02 9.161644e-02
100  1.268701e-03 4.132980e-02 1.194167e-03 3.146997e-02
127  1.098131e-03 4.050730e-02 1.093879e-03 2.965887e-02
128  1.002241e-03 4.230558e-02 9.156894e-04 3.077636e-02
200  7.828366e-04 3.910918e-02 7.725517e-04 3.032156e-02
255  1.220100e-03 4.140578e-02 1.253632e-03 4.222498e-02
256  1.245257e-03 4.179030e-02 1.332275e-03 3.946585e-02
500  1.140699e-03 4.344641e-02 1.155280e-03 3.230385e-02
511  1.932972e-03 8.120528e-02 1.986409e-03 1.959652e-01
512  3.231441e-03 9.774595e-02 3.108666e-03 2.978812e-01
1000 1.967067e-03 9.180973e-02 1.953739e-03 3.874979e-02
1023 2.582323e-03 9.462145e-02 2.595456e-03 1.696582e-01
1024 2.553477e-03 9.706773e-02 9.227765e-04 2.827231e-01
2000 1.921168e-03 9.245880e-02 1.885395e-03 3.810687e-02
2047 2.480431e-03 9.478434e-02 2.487427e-03 1.680699e-01
2048 2.668889e-03 9.788533e-02 2.634287e-03 2.815086e-01
